Team,Season,Round
Houston Rockets,2022,Missed Playoffs
Indiana Pacers,2022,Missed Playoffs
Los Angeles Clippers,2022,Missed Playoffs
Los Angeles Lakers,2022,Missed Playoffs
Memphis Grizzlies,2022,Conference Semifinals
Miami Heat,2022,Conference Finals
Milwaukee Bucks,2022,Conference Semifinals
Minnesota Timberwolves,2022,Conference First Round
New Orleans Pelicans,2022,Conference First Round
New York Knicks,2022,Missed Playoffs
Oklahoma City Thunder,2022,Missed Playoffs
Orlando Magic,2022,Missed Playoffs
Philadelphia 76ers,2022,Conference Semifinals
Phoenix Suns,2022,Conference Semifinals
Portland Trail Blazers,2022,Missed Playoffs
Sacramento Kings,2022,Missed Playoffs
San Antonio Spurs,2022,Missed Playoffs
Toronto Raptors,2022,Conference First Round
Utah Jazz,2022,Conference First Round
Washington Wizards,2022,Missed Playoffs
Atlanta Hawks,2023,Conference First Round
Boston Celtics,2023,Conference Finals
Brooklyn Nets,2023,Conference First Round
Charlotte Hornets,2023,Missed Playoffs
Chicago Bulls,2023,Missed Playoffs
Cleveland Cavaliers,2023,Conference First Round
Dallas Mavericks,2023,Missed Playoffs
Denver Nuggets,2023,Finals
Detroit Pistons,2023,Missed Playoffs
Golden State Warriors,2023,Conference Semifinals
Houston Rockets,2023,Missed Playoffs
Indiana Pacers,2023,Missed Playoffs
Los Angeles Clippers,2023,Conference First Round
Los Angeles Lakers,2023,Conference Finals
Memphis Grizzlies,2023,Conference First Round
Miami Heat,2023,Finals
Milwaukee Bucks,2023,Conference First Round
Minnesota Timberwolves,2023,Conference First Round
New Orleans Pelicans,2023,Missed Playoffs
New York Knicks,2023,Conference Semifinals
Oklahoma City Thunder,2023,Missed Playoffs
Orlando Magic,2023,Missed Playoffs
Philadelphia 76ers,2023,Conference Semifinals
Phoenix Suns,2023,Conference Semifinals
Portland Trail Blazers,2023,Missed Playoffs
Sacramento Kings,2023,Conference First Round
San Antonio Spurs,2023,Missed Playoffs
Toronto Raptors,2023,Missed Playoffs
Utah Jazz,2023,Missed Playoffs
Washington Wizards,2023,Missed Playoffs
